Timeframe name,From (date),To (date),Material name,Material code,Quantity,Unit,Location,Comments
July 2013,01/07/13,31/07/13,water,MF9,81.28,%,Steenbras Lower,
August 2013,01/08/13,31/08/13,water,MF9,97.11,%,Steenbras Lower,
September 2013,01/09/13,30/09/13,water,MF9,100.64,%,Steenbras Lower,
October 2013,01/10/13,31/10/13,water,MF9,97.35,%,Steenbras Lower,
November 2013,01/11/13,30/11/13,water,MF9,98.79,%,Steenbras Lower,
December 2013,01/12/13,31/12/13,water,MF9,90.5,%,Steenbras Lower,
January 2014,01/01/14,31/01/14,water,MF9,81.17,%,Steenbras Lower,
February 2014,01/02/14,28/02/14,water,MF9,71.25,%,Steenbras Lower,
March 2014,01/03/14,31/03/14,water,MF9,59.75,%,Steenbras Lower,
April 2014,01/04/14,30/04/14,water,MF9,50.26,%,Steenbras Lower,
May 2014,01/05/14,31/05/14,water,MF9,40.91,%,Steenbras Lower,
June 2014,01/06/14,30/06/14,water,MF9,60.23,%,Steenbras Lower,
July 2014,01/07/14,31/07/14,water,MF9,87.24,%,Steenbras Lower,
August 2014,01/08/14,31/08/14,water,MF9,100.16,%,Steenbras Lower,
September 2014,01/09/14,30/09/14,water,MF9,97.94,%,Steenbras Lower,
October 2014,01/10/14,31/10/14,water,MF9,91.99,%,Steenbras Lower,
November 2014,01/11/14,30/11/14,water,MF9,81.02,%,Steenbras Lower,
December 2014,01/12/14,31/12/14,water,MF9,69.04,%,Steenbras Lower,
January 2015,01/01/15,31/01/15,water,MF9,57.44,%,Steenbras Lower,
February 2015,01/02/15,28/02/15,water,MF9,52.9,%,Steenbras Lower,
March 2015,01/03/15,31/03/15,water,MF9,48.27,%,Steenbras Lower,
April 2015,01/04/15,30/04/15,water,MF9,52.7,%,Steenbras Lower,
May 2015,01/05/15,31/05/15,water,MF9,48.16,%,Steenbras Lower,
June 2015,01/06/15,30/06/15,water,MF9,52.82,%,Steenbras Lower,
July 2015,01/07/15,31/07/15,water,MF9,59.73,%,Steenbras Lower,
August 2015,01/08/15,31/08/15,water,MF9,87.1,%,Steenbras Lower,
September 2015,01/09/15,30/09/15,water,MF9,90.25,%,Steenbras Lower,
October 2015,01/10/15,31/10/15,water,MF9,85.84,%,Steenbras Lower,
November 2015,01/11/15,30/11/15,water,MF9,77.32,%,Steenbras Lower,
December 2015,01/12/15,31/12/15,water,MF9,67.02,%,Steenbras Lower,
January 2016,01/01/16,31/01/16,water,MF9,54.69,%,Steenbras Lower,
February 2016,01/02/16,29/02/16,water,MF9,45.62,%,Steenbras Lower,
March 2016,01/03/16,31/03/16,water,MF9,46.57,%,Steenbras Lower,
April 2016,01/04/16,30/04/16,water,MF9,39.3,%,Steenbras Lower,
May 2016,01/05/16,31/05/16,water,MF9,37.47,%,Steenbras Lower,
June 2016,01/06/16,30/06/16,water,MF9,34.48,%,Steenbras Lower,
July 2016,01/07/16,31/07/16,water,MF9,44.59,%,Steenbras Lower,
August 2016,01/08/16,31/08/16,water,MF9,64.22,%,Steenbras Lower,
September 2016,01/09/16,30/09/16,water,MF9,69.1,%,Steenbras Lower,
October 2016,01/10/16,31/10/16,water,MF9,63.75,%,Steenbras Lower,
